year-month,total_revenue
2009-03,7.92
2009-04,8.91
2009-05,1.98
2009-06,10.89
2009-07,4.95
2009-09,2.97
2009-10,5.94
2009-11,11.88
2009-12,0.99
2010-01,11.88
2010-02,6.93
2010-05,1.98
2010-06,3.96
2010-07,3.96
2010-08,0.99
2010-09,3.96
2010-10,6.93
2010-12,0.99
2011-01,5.94
2011-02,16.83
2011-04,7.92
2011-05,3.96
2011-08,0.99
2011-09,2.97
2011-10,2.97
2011-12,5.94
2012-01,15.84
2012-03,0.99
2012-04,3.96
2012-05,8.91
2012-06,4.95
2012-07,2.97
2012-08,5.94
2012-12,0.99
2013-01,2.97
2013-02,2.97
2013-04,6.93
2013-05,8.91
2013-08,5.94
2013-09,6.93
2013-10,8.91
2013-11,4.95
2013-12,8.91
